
rtarget:     file format elf64-x86-64


Disassembly of section .init:

0000000000401000 <_init>:
  401000:	f3 0f 1e fa          	endbr64 
  4016bc:	bf 00 00 00 00       	mov    $0x0,%edi
  4016c1:	e8 aa fc ff ff       	callq  401370 <time@plt>
  4016c6:	48 89 c7             	mov    %rax,%rdi
  4016c9:	e8 52 fd ff ff       	callq  401420 <srandom@plt>
  4016ce:	e8 5d fd ff ff       	callq  401430 <random@plt>
  4016d3:	eb 9c                	jmp    401671 <initialize_target+0x7d>
  4016d5:	48 89 e7             	mov    %rsp,%rdi
  4016d8:	e8 46 15 00 00       	callq  402c23 <init_driver>
  4016dd:	85 c0                	test   %eax,%eax
  4016df:	79 be                	jns    40169f <initialize_target+0xab>
  4016e1:	48 89 e2             	mov    %rsp,%rdx
  4016e4:	48 8d 35 fd 19 00 00 	lea    0x19fd(%rip),%rsi        # 4030e8 <_IO_stdin_used+0xe8>
  4016eb:	bf 01 00 00 00       	mov    $0x1,%edi
  4016f0:	b8 00 00 00 00       	mov    $0x0,%eax
  4016f5:	e8 16 fd ff ff       	callq  401410 <__printf_chk@plt>
  4016fa:	bf 08 00 00 00       	mov    $0x8,%edi
  4016ff:	e8 3c fc ff ff       	callq  401340 <exit@plt>
  401704:	e8 d7 fb ff ff       	callq  4012e0 <__stack_chk_fail@plt>

0000000000401709 <main>:
  401709:	f3 0f 1e fa          	endbr64 
  40170d:	41 56                	push   %r14
  40170f:	41 55                	push   %r13
  401711:	41 54                	push   %r12
  401713:	55                   	push   %rbp
  401714:	53                   	push   %rbx
  401715:	89 fd                	mov    %edi,%ebp
  401717:	48 89 f3             	mov    %rsi,%rbx
  40171a:	48 c7 c6 d9 25 40 00 	mov    $0x4025d9,%rsi
  401721:	bf 0b 00 00 00       	mov    $0xb,%edi
  401726:	e8 d5 fb ff ff       	callq  401300 <signal@plt>
  40172b:	48 c7 c6 7f 25 40 00 	mov    $0x40257f,%rsi
  401732:	bf 07 00 00 00       	mov    $0x7,%edi
  401737:	e8 c4 fb ff ff       	callq  401300 <signal@plt>
  40173c:	48 c7 c6 33 26 40 00 	mov    $0x402633,%rsi
  401743:	bf 04 00 00 00       	mov    $0x4,%edi
  401748:	e8 b3 fb ff ff       	callq  401300 <signal@plt>
  40174d:	83 3d b4 4d 00 00 00 	cmpl   $0x0,0x4db4(%rip)        # 406508 <is_checker>
  401754:	75 26                	jne    40177c <main+0x73>
  401756:	4c 8d 25 58 1a 00 00 	lea    0x1a58(%rip),%r12        # 4031b5 <_IO_stdin_used+0x1b5>
  40175d:	48 8b 05 4c 4a 00 00 	mov    0x4a4c(%rip),%rax        # 4061b0 <stdin@@GLIBC_2.2.5>
  401764:	48 89 05 85 4d 00 00 	mov    %rax,0x4d85(%rip)        # 4064f0 <infile>
  40176b:	41 bd 00 00 00 00    	mov    $0x0,%r13d
  401771:	41 be 00 00 00 00    	mov    $0x0,%r14d
  401777:	e9 8d 00 00 00       	jmpq   401809 <main+0x100>
  40177c:	48 c7 c6 8d 26 40 00 	mov    $0x40268d,%rsi
  401783:	bf 0e 00 00 00       	mov    $0xe,%edi
  401788:	e8 73 fb ff ff       	callq  401300 <signal@plt>
  40178d:	bf 05 00 00 00       	mov    $0x5,%edi
  401792:	e8 39 fb ff ff       	callq  4012d0 <alarm@plt>
  401797:	4c 8d 25 0f 1a 00 00 	lea    0x1a0f(%rip),%r12        # 4031ad <_IO_stdin_used+0x1ad>
  40179e:	eb bd                	jmp    40175d <main+0x54>
  4017a0:	48 8b 3b             	mov    (%rbx),%rdi
  4017a3:	e8 ae fd ff ff       	callq  401556 <usage>
  4017a8:	48 8d 35 56 1c 00 00 	lea    0x1c56(%rip),%rsi        # 403405 <_IO_stdin_used+0x405>
  4017af:	48 8b 3d ca 49 00 00 	mov    0x49ca(%rip),%rdi        # 406180 <optarg@@GLIBC_2.2.5>
  4017b6:	e8 95 fc ff ff       	callq  401450 <fopen@plt>
  4017bb:	48 89 05 2e 4d 00 00 	mov    %rax,0x4d2e(%rip)        # 4064f0 <infile>
  4017c2:	48 85 c0             	test   %rax,%rax
  4017c5:	75 42                	jne    401809 <main+0x100>
  4017c7:	48 8b 0d b2 49 00 00 	mov    0x49b2(%rip),%rcx        # 406180 <optarg@@GLIBC_2.2.5>
  4017ce:	48 8d 15 e5 19 00 00 	lea    0x19e5(%rip),%rdx        # 4031ba <_IO_stdin_used+0x1ba>
  4017d5:	be 01 00 00 00       	mov    $0x1,%esi
  4017da:	48 8b 3d bf 49 00 00 	mov    0x49bf(%rip),%rdi        # 4061a0 <stderr@@GLIBC_2.2.5>
  4017e1:	e8 da fa ff ff       	callq  4012c0 <__fprintf_chk@plt>
  4017e6:	b8 01 00 00 00       	mov    $0x1,%eax
  4017eb:	e9 db 00 00 00       	jmpq   4018cb <main+0x1c2>
  4017f0:	ba 10 00 00 00       	mov    $0x10,%edx
  4017f5:	be 00 00 00 00       	mov    $0x0,%esi
  4017fa:	48 8b 3d 7f 49 00 00 	mov    0x497f(%rip),%rdi        # 406180 <optarg@@GLIBC_2.2.5>
  401801:	e8 7a fb ff ff       	callq  401380 <strtoul@plt>
  401806:	41 89 c6             	mov    %eax,%r14d
  401809:	4c 89 e2             	mov    %r12,%rdx
  40180c:	48 89 de             	mov    %rbx,%rsi
  40180f:	89 ef                	mov    %ebp,%edi
  401811:	e8 ba fb ff ff       	callq  4013d0 <getopt@plt>
  401816:	3c ff                	cmp    $0xff,%al
  401818:	74 65                	je     40187f <main+0x176>
  40181a:	0f be c8             	movsbl %al,%ecx
  40181d:	83 e8 61             	sub    $0x61,%eax
  401820:	3c 10                	cmp    $0x10,%al
  401822:	77 3b                	ja     40185f <main+0x156>
  401824:	0f b6 c0             	movzbl %al,%eax
  401827:	48 8d 15 ca 19 00 00 	lea    0x19ca(%rip),%rdx        # 4031f8 <_IO_stdin_used+0x1f8>
  40182e:	48 63 04 82          	movslq (%rdx,%rax,4),%rax
  401832:	48 01 d0             	add    %rdx,%rax
  401835:	3e ff e0             	notrack jmpq *%rax
  401838:	ba 0a 00 00 00       	mov    $0xa,%edx
  40183d:	be 00 00 00 00       	mov    $0x0,%esi
  401842:	48 8b 3d 37 49 00 00 	mov    0x4937(%rip),%rdi        # 406180 <optarg@@GLIBC_2.2.5>
  401849:	e8 42 fb ff ff       	callq  401390 <strtol@plt>
  40184e:	41 89 c5             	mov    %eax,%r13d
  401851:	eb b6                	jmp    401809 <main+0x100>
  401853:	c7 05 03 49 00 00 00 	movl   $0x0,0x4903(%rip)        # 406160 <notify>
  40185a:	00 00 00 
  40185d:	eb aa                	jmp    401809 <main+0x100>
  40185f:	89 ca                	mov    %ecx,%edx
  401861:	48 8d 35 6f 19 00 00 	lea    0x196f(%rip),%rsi        # 4031d7 <_IO_stdin_used+0x1d7>
  401868:	bf 01 00 00 00       	mov    $0x1,%edi
  40186d:	b8 00 00 00 00       	mov    $0x0,%eax
  401872:	e8 99 fb ff ff       	callq  401410 <__printf_chk@plt>
  401877:	48 8b 3b             	mov    (%rbx),%rdi
  40187a:	e8 d7 fc ff ff       	callq  401556 <usage>
  40187f:	be 01 00 00 00       	mov    $0x1,%esi
  401884:	44 89 ef             	mov    %r13d,%edi
  401887:	e8 68 fd ff ff       	callq  4015f4 <initialize_target>
  40188c:	83 3d 75 4c 00 00 00 	cmpl   $0x0,0x4c75(%rip)        # 406508 <is_checker>
  401893:	74 09                	je     40189e <main+0x195>
  401895:	44 39 35 64 4c 00 00 	cmp    %r14d,0x4c64(%rip)        # 406500 <authkey>
  40189c:	75 36                	jne    4018d4 <main+0x1cb>
  40189e:	8b 15 60 4c 00 00    	mov    0x4c60(%rip),%edx        # 406504 <cookie>
  4018a4:	48 8d 35 3f 19 00 00 	lea    0x193f(%rip),%rsi        # 4031ea <_IO_stdin_used+0x1ea>
  4018ab:	bf 01 00 00 00       	mov    $0x1,%edi
  4018b0:	b8 00 00 00 00       	mov    $0x0,%eax
  4018b5:	e8 56 fb ff ff       	callq  401410 <__printf_chk@plt>
  4018ba:	48 8b 3d 97 48 00 00 	mov    0x4897(%rip),%rdi        # 406158 <buf_offset>
  4018c1:	e8 24 0e 00 00       	callq  4026ea <launch>
  4018c6:	b8 00 00 00 00       	mov    $0x0,%eax
  4018cb:	5b                   	pop    %rbx
  4018cc:	5d                   	pop    %rbp
  4018cd:	41 5c                	pop    %r12
  4018cf:	41 5d                	pop    %r13
  4018d1:	41 5e                	pop    %r14
  4018d3:	c3                   	retq   
  4018d4:	44 89 f2             	mov    %r14d,%edx
  4018d7:	48 8d 35 32 18 00 00 	lea    0x1832(%rip),%rsi        # 403110 <_IO_stdin_used+0x110>
  4018de:	bf 01 00 00 00       	mov    $0x1,%edi
  4018e3:	b8 00 00 00 00       	mov    $0x0,%eax
  4018e8:	e8 23 fb ff ff       	callq  401410 <__printf_chk@plt>
  4018ed:	b8 00 00 00 00       	mov    $0x0,%eax
  4018f2:	e8 e6 08 00 00       	callq  4021dd <check_fail>
  4018f7:	eb a5                	jmp    40189e <main+0x195>

00000000004018f9 <scramble>:
  4018f9:	f3 0f 1e fa          	endbr64 
  4018fd:	48 83 ec 38          	sub    $0x38,%rsp
  401901:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
  401908:	00 00 
  40190a:	48 89 44 24 28       	mov    %rax,0x28(%rsp)
  40190f:	31 c0                	xor    %eax,%eax
  401911:	83 f8 09             	cmp    $0x9,%eax
  401914:	77 12                	ja     401928 <scramble+0x2f>
  401916:	69 d0 8e 49 00 00    	imul   $0x498e,%eax,%edx
  40191c:	01 fa                	add    %edi,%edx
  40191e:	89 c1                	mov    %eax,%ecx
  401920:	89 14 8c             	mov    %edx,(%rsp,%rcx,4)
  401923:	83 c0 01             	add    $0x1,%eax
  401926:	eb e9                	jmp    401911 <scramble+0x18>
  401928:	8b 44 24 04          	mov    0x4(%rsp),%eax
  40192c:	69 c0 d8 04 00 00    	imul   $0x4d8,%eax,%eax
  401932:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401936:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  40193a:	69 c0 a3 32 00 00    	imul   $0x32a3,%eax,%eax
  401940:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401944:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401948:	69 c0 26 4d 00 00    	imul   $0x4d26,%eax,%eax
  40194e:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401952:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401956:	69 c0 cf c5 00 00    	imul   $0xc5cf,%eax,%eax
  40195c:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401960:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401964:	69 c0 d8 d6 00 00    	imul   $0xd6d8,%eax,%eax
  40196a:	89 44 24 08          	mov    %eax,0x8(%rsp)
  40196e:	8b 04 24             	mov    (%rsp),%eax
  401971:	69 c0 ac 98 00 00    	imul   $0x98ac,%eax,%eax
  401977:	89 04 24             	mov    %eax,(%rsp)
  40197a:	8b 44 24 10          	mov    0x10(%rsp),%eax
  40197e:	69 c0 4d b3 00 00    	imul   $0xb34d,%eax,%eax
  401984:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401988:	8b 44 24 20          	mov    0x20(%rsp),%eax
  40198c:	69 c0 81 ac 00 00    	imul   $0xac81,%eax,%eax
  401992:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401996:	8b 44 24 10          	mov    0x10(%rsp),%eax
  40199a:	69 c0 6f 92 00 00    	imul   $0x926f,%eax,%eax
  4019a0:	89 44 24 10          	mov    %eax,0x10(%rsp)
  4019a4:	8b 44 24 14          	mov    0x14(%rsp),%eax
  4019a8:	69 c0 ff 96 00 00    	imul   $0x96ff,%eax,%eax
  4019ae:	89 44 24 14          	mov    %eax,0x14(%rsp)
  4019b2:	8b 44 24 24          	mov    0x24(%rsp),%eax
  4019b6:	69 c0 e2 28 00 00    	imul   $0x28e2,%eax,%eax
  4019bc:	89 44 24 24          	mov    %eax,0x24(%rsp)
  4019c0:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  4019c4:	69 c0 e8 35 00 00    	imul   $0x35e8,%eax,%eax
  4019ca:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  4019ce:	8b 44 24 08          	mov    0x8(%rsp),%eax
  4019d2:	69 c0 8c 76 00 00    	imul   $0x768c,%eax,%eax
  4019d8:	89 44 24 08          	mov    %eax,0x8(%rsp)
  4019dc:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  4019e0:	69 c0 96 b4 00 00    	imul   $0xb496,%eax,%eax
  4019e6:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  4019ea:	8b 44 24 04          	mov    0x4(%rsp),%eax
  4019ee:	69 c0 b7 8e 00 00    	imul   $0x8eb7,%eax,%eax
  4019f4:	89 44 24 04          	mov    %eax,0x4(%rsp)
  4019f8:	8b 44 24 24          	mov    0x24(%rsp),%eax
  4019fc:	69 c0 e5 ff 00 00    	imul   $0xffe5,%eax,%eax
  401a02:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401a06:	8b 04 24             	mov    (%rsp),%eax
  401a09:	69 c0 74 c2 00 00    	imul   $0xc274,%eax,%eax
  401a0f:	89 04 24             	mov    %eax,(%rsp)
  401a12:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401a16:	69 c0 04 7e 00 00    	imul   $0x7e04,%eax,%eax
  401a1c:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401a20:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401a24:	69 c0 4b ed 00 00    	imul   $0xed4b,%eax,%eax
  401a2a:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401a2e:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401a32:	69 c0 15 bf 00 00    	imul   $0xbf15,%eax,%eax
  401a38:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401a3c:	8b 04 24             	mov    (%rsp),%eax
  401a3f:	69 c0 c2 83 00 00    	imul   $0x83c2,%eax,%eax
  401a45:	89 04 24             	mov    %eax,(%rsp)
  401a48:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401a4c:	6b c0 42             	imul   $0x42,%eax,%eax
  401a4f:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401a53:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401a57:	69 c0 6e d8 00 00    	imul   $0xd86e,%eax,%eax
  401a5d:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401a61:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401a65:	69 c0 7d df 00 00    	imul   $0xdf7d,%eax,%eax
  401a6b:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401a6f:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401a73:	69 c0 fd 3d 00 00    	imul   $0x3dfd,%eax,%eax
  401a79:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401a7d:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401a81:	69 c0 af 1c 00 00    	imul   $0x1caf,%eax,%eax
  401a87:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401a8b:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401a8f:	69 c0 ce fc 00 00    	imul   $0xfcce,%eax,%eax
  401a95:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401a99:	8b 04 24             	mov    (%rsp),%eax
  401a9c:	69 c0 fc 86 00 00    	imul   $0x86fc,%eax,%eax
  401aa2:	89 04 24             	mov    %eax,(%rsp)
  401aa5:	8b 04 24             	mov    (%rsp),%eax
  401aa8:	69 c0 e7 95 00 00    	imul   $0x95e7,%eax,%eax
  401aae:	89 04 24             	mov    %eax,(%rsp)
  401ab1:	8b 04 24             	mov    (%rsp),%eax
  401ab4:	69 c0 b1 29 00 00    	imul   $0x29b1,%eax,%eax
  401aba:	89 04 24             	mov    %eax,(%rsp)
  401abd:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401ac1:	69 c0 de 61 00 00    	imul   $0x61de,%eax,%eax
  401ac7:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401acb:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401acf:	69 c0 2e b8 00 00    	imul   $0xb82e,%eax,%eax
  401ad5:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401ad9:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401add:	69 c0 1f 5c 00 00    	imul   $0x5c1f,%eax,%eax
  401ae3:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401ae7:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401aeb:	69 c0 ed 33 00 00    	imul   $0x33ed,%eax,%eax
  401af1:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401af5:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401af9:	69 c0 06 7a 00 00    	imul   $0x7a06,%eax,%eax
  401aff:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401b03:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401b07:	69 c0 8e 0d 00 00    	imul   $0xd8e,%eax,%eax
  401b0d:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401b11:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401b15:	69 c0 c5 4a 00 00    	imul   $0x4ac5,%eax,%eax
  401b1b:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401b1f:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401b23:	69 c0 d7 34 00 00    	imul   $0x34d7,%eax,%eax
  401b29:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401b2d:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401b31:	69 c0 93 ba 00 00    	imul   $0xba93,%eax,%eax
  401b37:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401b3b:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401b3f:	69 c0 11 8e 00 00    	imul   $0x8e11,%eax,%eax
  401b45:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401b49:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401b4d:	69 c0 d2 8a 00 00    	imul   $0x8ad2,%eax,%eax
  401b53:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401b57:	8b 04 24             	mov    (%rsp),%eax
  401b5a:	69 c0 70 5f 00 00    	imul   $0x5f70,%eax,%eax
  401b60:	89 04 24             	mov    %eax,(%rsp)
  401b63:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401b67:	69 c0 58 fd 00 00    	imul   $0xfd58,%eax,%eax
  401b6d:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401b71:	8b 04 24             	mov    (%rsp),%eax
  401b74:	69 c0 fa fa 00 00    	imul   $0xfafa,%eax,%eax
  401b7a:	89 04 24             	mov    %eax,(%rsp)
  401b7d:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401b81:	69 c0 ff 21 00 00    	imul   $0x21ff,%eax,%eax
  401b87:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401b8b:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401b8f:	69 c0 de b7 00 00    	imul   $0xb7de,%eax,%eax
  401b95:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401b99:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401b9d:	69 c0 41 4e 00 00    	imul   $0x4e41,%eax,%eax
  401ba3:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401ba7:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401bab:	69 c0 2f a8 00 00    	imul   $0xa82f,%eax,%eax
  401bb1:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401bb5:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401bb9:	69 c0 3f a6 00 00    	imul   $0xa63f,%eax,%eax
  401bbf:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401bc3:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401bc7:	69 c0 cb f3 00 00    	imul   $0xf3cb,%eax,%eax
  401bcd:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401bd1:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401bd5:	69 c0 20 cf 00 00    	imul   $0xcf20,%eax,%eax
  401bdb:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401bdf:	8b 44 24 0c          	mov    0xc(%rsp),%eax
  401be3:	69 c0 0e 1e 00 00    	imul   $0x1e0e,%eax,%eax
  401be9:	89 44 24 0c          	mov    %eax,0xc(%rsp)
  401bed:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401bf1:	69 c0 2a 0f 00 00    	imul   $0xf2a,%eax,%eax
  401bf7:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401bfb:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401bff:	69 c0 18 3d 00 00    	imul   $0x3d18,%eax,%eax
  401c05:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401c09:	8b 04 24             	mov    (%rsp),%eax
  401c0c:	69 c0 3a 67 00 00    	imul   $0x673a,%eax,%eax
  401c12:	89 04 24             	mov    %eax,(%rsp)
  401c15:	8b 04 24             	mov    (%rsp),%eax
  401c18:	69 c0 4e c2 00 00    	imul   $0xc24e,%eax,%eax
  401c1e:	89 04 24             	mov    %eax,(%rsp)
  401c21:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401c25:	69 c0 eb 75 00 00    	imul   $0x75eb,%eax,%eax
  401c2b:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401c2f:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401c33:	69 c0 ac 79 00 00    	imul   $0x79ac,%eax,%eax
  401c39:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401c3d:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401c41:	69 c0 2a 08 00 00    	imul   $0x82a,%eax,%eax
  401c47:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401c4b:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401c4f:	69 c0 83 06 00 00    	imul   $0x683,%eax,%eax
  401c55:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401c59:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401c5d:	69 c0 51 99 00 00    	imul   $0x9951,%eax,%eax
  401c63:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401c67:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401c6b:	69 c0 06 ae 00 00    	imul   $0xae06,%eax,%eax
  401c71:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401c75:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401c79:	69 c0 6e 2e 00 00    	imul   $0x2e6e,%eax,%eax
  401c7f:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401c83:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401c87:	69 c0 f3 91 00 00    	imul   $0x91f3,%eax,%eax
  401c8d:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401c91:	8b 44 24 20          	mov    0x20(%rsp),%eax
  401c95:	69 c0 53 32 00 00    	imul   $0x3253,%eax,%eax
  401c9b:	89 44 24 20          	mov    %eax,0x20(%rsp)
  401c9f:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401ca3:	69 c0 f3 f4 00 00    	imul   $0xf4f3,%eax,%eax
  401ca9:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401cad:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401cb1:	69 c0 18 87 00 00    	imul   $0x8718,%eax,%eax
  401cb7:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401cbb:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401cbf:	69 c0 58 1b 00 00    	imul   $0x1b58,%eax,%eax
  401cc5:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401cc9:	8b 04 24             	mov    (%rsp),%eax
  401ccc:	69 c0 e6 65 00 00    	imul   $0x65e6,%eax,%eax
  401cd2:	89 04 24             	mov    %eax,(%rsp)
  401cd5:	8b 44 24 04          	mov    0x4(%rsp),%eax
  401cd9:	69 c0 ff 5f 00 00    	imul   $0x5fff,%eax,%eax
  401cdf:	89 44 24 04          	mov    %eax,0x4(%rsp)
  401ce3:	8b 44 24 24          	mov    0x24(%rsp),%eax
  401ce7:	69 c0 9a 23 00 00    	imul   $0x239a,%eax,%eax
  401ced:	89 44 24 24          	mov    %eax,0x24(%rsp)
  401cf1:	8b 44 24 14          	mov    0x14(%rsp),%eax
  401cf5:	69 c0 2d bf 00 00    	imul   $0xbf2d,%eax,%eax
  401cfb:	89 44 24 14          	mov    %eax,0x14(%rsp)
  401cff:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401d03:	69 c0 0b 44 00 00    	imul   $0x440b,%eax,%eax
  401d09:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401d0d:	8b 44 24 10          	mov    0x10(%rsp),%eax
  401d11:	69 c0 c9 0c 00 00    	imul   $0xcc9,%eax,%eax
  401d17:	89 44 24 10          	mov    %eax,0x10(%rsp)
  401d1b:	8b 44 24 18          	mov    0x18(%rsp),%eax
  401d1f:	69 c0 80 ad 00 00    	imul   $0xad80,%eax,%eax
  401d25:	89 44 24 18          	mov    %eax,0x18(%rsp)
  401d29:	8b 44 24 08          	mov    0x8(%rsp),%eax
  401d2d:	69 c0 5f 76 00 00    	imul   $0x765f,%eax,%eax
  401d33:	89 44 24 08          	mov    %eax,0x8(%rsp)
  401d37:	8b 04 24             	mov    (%rsp),%eax
  401d3a:	69 c0 ae d1 00 00    	imul   $0xd1ae,%eax,%eax
  401d40:	89 04 24             	mov    %eax,(%rsp)
  401d43:	8b 44 24 1c          	mov    0x1c(%rsp),%eax
  401d47:	69 c0 65 2e 00 00    	imul   $0x2e65,%eax,%eax
  401d4d:	89 44 24 1c          	mov    %eax,0x1c(%rsp)
  401d51:	b8 00 00 00 00       	mov    $0x0,%eax
  401d56:	ba 00 00 00 00       	mov    $0x0,%edx
  401d5b:	83 f8 09             	cmp    $0x9,%eax
  401d5e:	77 0c                	ja     401d6c <scramble+0x473>
  401d60:	89 c1                	mov    %eax,%ecx
  401d62:	8b 0c 8c             	mov    (%rsp,%rcx,4),%ecx
  401d65:	01 ca                	add    %ecx,%edx
  401d67:	83 c0 01             	add    $0x1,%eax
  401d6a:	eb ef                	jmp    401d5b <scramble+0x462>
  401d6c:	48 8b 44 24 28       	mov    0x28(%rsp),%rax
  401d71:	64 48 33 04 25 28 00 	xor    %fs:0x28,%rax
  401d78:	00 00 
  401d7a:	75 07                	jne    401d83 <scramble+0x48a>
  401d7c:	89 d0                	mov    %edx,%eax
  401d7e:	48 83 c4 38          	add    $0x38,%rsp
  401d82:	c3                   	retq   
  401d83:	e8 58 f5 ff ff       	callq  4012e0 <__stack_chk_fail@plt>

0000000000401d88 <getbuf>:
  401d88:	f3 0f 1e fa          	endbr64 
  401d8c:	48 83 ec 38          	sub    $0x38,%rsp
  401d90:	48 89 e7             	mov    %rsp,%rdi
  401d93:	e8 83 04 00 00       	callq  40221b <Gets>
  401d98:	b8 01 00 00 00       	mov    $0x1,%eax
  401d9d:	48 83 c4 38          	add    $0x38,%rsp
  401da1:	c3                   	retq   

0000000000401da2 <touch1>:
  401da2:	f3 0f 1e fa          	endbr64 
  401da6:	50                   	push   %rax
  401da7:	58                   	pop    %rax
  401da8:	48 83 ec 08          	sub    $0x8,%rsp
  401dac:	c7 05 46 47 00 00 01 	movl   $0x1,0x4746(%rip)        # 4064fc <vlevel>
  401db3:	00 00 00 
  401db6:	48 8d 3d 9b 14 00 00 	lea    0x149b(%rip),%rdi        # 403258 <_IO_stdin_used+0x258>
  401dbd:	e8 3e f6 ff ff       	callq  401400 <puts@plt>
  401dc2:	bf 01 00 00 00       	mov    $0x1,%edi
